instrument,account,accountType,quantity,delta
WMT,613301752923,E,1174,1084
BRK,918530596731,I,612,37
AAPL,000020669700,I,-1951,-2894
INTC,963721277208,I,-1200,-1262
BRK,083712820252,E,-612,-1059
TXN,693791995788,I,-3381,-3620
BRK,114976157448,E,-612,-852
BRK,935127983414,E,-612,-1586
WMT,005262214395,I,-1174,-1629
TXN,288249720001,I,-3381,-3851
GOOG,236522428071,E,-1284,-1879
AAPL,588310520068,E,1951,975
TXN,293464654139,I,-3381,-4321
INTC,820801338770,I,-1200,-1976
WMT,434661332958,E,1174,938
GOOG,838065331117,I,1284,726
AAPL,385696527514,E,1951,1310
INTC,350199557612,I,-1200,-1374
HPQ,780044277937,I,908,130
HPQ,311691789068,E,-908,-1716
INTC,156134206596,I,-1200,-1887
MSFT,163824790689,I,232,-354
TGT,060787453571,E,1347,549
MSFT,637890082622,E,-232,-722
WMT,469090078157,I,-1174,-1569
BRK,616471448667,I,612,-11
HOG,837060442049,I,47,-494
HPQ,527664539738,E,-908,-1191
INTC,837516336261,E,1200,284
INTC,928548483447,E,1200,472
TXN,943013458611,I,-3381,-4239
GOOG,130178311427,E,-1284,-2000
HPQ,805358483833,I,908,880
INTC,920026533859,E,1200,584
TGT,454699390047,E,1347,1198
INTC,379749349031,E,1200,407
GOOG,402787620872,E,-1284,-1303
HPQ,223866453720,E,-908,-1049
TGT,479739205050,I,-1347,-1857
GOOG,836212938042,E,-1284,-2028
LUV,256148962821,E,1067,758
TXN,854494609111,E,3381,2469
MMM,013045986029,E,477,402
TGT,115766434178,E,1347,980
BRK,366898394846,E,-612,-1112
TGT,556003171058,I,-1347,-2016
HOG,681346068688,E,-47,-868
AAPL,414748093484,E,1951,1408
WMT,582386945889,E,1174,782
MMM,950060897315,I,-477,-917
GOOG,371201529265,I,1284,972
TXN,767546938017,I,-3381,-4219
GOOG,841596281901,E,-1284,-1559
HPQ,009556543155,I,908,314
MSFT,077373256277,I,232,-611
BRK,577908449404,I,612,329
GOOG,088809412648,I,1284,820
INTC,134764176388,I,-1200,-1886
TXN,746683394705,I,-3381,-3667
TXN,167411080537,I,-3381,-4033
GOOG,457233019193,E,-1284,-1746
AAPL,138097784589,I,-1951,-2864
HPQ,115590189631,I,908,-17
WMT,811085206471,E,1174,721
INTC,536455329494,I,-1200,-1402
GOOG,138968925257,I,1284,517
TGT,552241264224,E,1347,387
TGT,578494171914,E,1347,903
TXN,712086991150,I,-3381,-4052
TGT,658490925375,I,-1347,-1659
HOG,739931618025,I,47,-29
AAPL,843782892822,I,-1951,-2215
TGT,673517058949,I,-1347,-2045
LUV,161888564190,E,1067,446
HOG,164857573283,E,-47,-1012
TXN,595617186098,E,3381,2385
WMT,647945661390,E,1174,698
GOOG,944052533474,E,-1284,-1995
TXN,889933772882,I,-3381,-3922
MSFT,356153596377,I,232,-99
LUV,932537798594,E,1067,698
BRK,757879935497,I,612,401
INTC,449855907094,E,1200,439
HPQ,096007286293,I,908,638
WMT,318875269114,E,1174,875
MSFT,529245474275,E,-232,-607
BRK,157660114660,I,612,-372
HPQ,541618006712,E,-908,-1827
AAPL,282027030914,E,1951,1745
MSFT,618486251791,E,-232,-1230
GOOG,882660247499,I,1284,791
HOG,310370842616,E,-47,-265
HPQ,178966223032,E,-908,-1365
MSFT,667481045622,E,-232,-728
HOG,089272111246,E,-47,-622
TGT,154078767509,E,1347,569
WMT,438991835994,E,1174,407
LUV,451617624581,E,1067,151
MMM,452569295698,I,-477,-623
INTC,521023010124,E,1200,929
